facility_name,location_type,restroom_type,restroom_latitude,restroom_longitude,restroom_location,restroom_open,restroom_accessibility,restroom_changing_stations,restroom_status
East River Park Zone 3,Park,,40.715899,-73.975189,"c(-73.975189, 40.715899)",Unknown,Unknown,0,0
Passerelle Building,Park,,40.751662,-73.843252,"c(-73.843252, 40.751662)",Year Round,Unknown,0,1
The High Line Zone 1,Park,,40.743643,-74.006873,"c(-74.006873, 40.743643)",Year Round,Unknown,0,1
Corporal Thompson Playground,Park,Multi-Stall W/M Restrooms,40.638516,-74.117934,"c(-74.117934, 40.638516)",Year Round,Fully Accessible,0,1
"Bushwick Library, BPL",Library,Single-Stall All Gender Restroom(s),40.704567,-73.93962,"c(-73.93962, 40.704567)",Year Round,Fully Accessible,1,1
Rienzi Playground,Park,Multi-Stall W/M Restrooms,40.887635,-73.858784,"c(-73.858784, 40.887635)",Year Round,Fully Accessible,0,1
55 East 52nd Street POPS,Privately Owned Public Space,Single-Stall All Gender Restroom(s),40.759132,-73.973672,"c(-73.973672, 40.759132)",Year Round,Partially Accessible,0,1
"Ottendorfer Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.728915,-73.987744,"c(-73.987744, 40.728915)",Year Round,Not Accessible,1,1
South Beach Zone 2,Park,Multi-Stall W/M Restrooms,40.588862,-74.066755,"c(-74.066755, 40.588862)",Seasonal,Fully Accessible,0,1
Grand Central (Metro North) LIRR Restroom,Transit,,40.751816,-73.976715,"c(-73.976715, 40.751816)",Year Round,Unknown,0,1
St. Catherine's Park,Park,Both Single-Stall All Gender and Multi-Stall W/M,40.76531,-73.958579,"c(-73.958579, 40.76531)",Year Round,Fully Accessible,0,1
Fort Greene Playground,Park,Multi-Stall W/M Restrooms,40.692339,-73.977224,"c(-73.977224, 40.692339)",Year Round,Fully Accessible,0,1
Major Deegan So. Gas Station,Park,,40.894936,-73.88258,"c(-73.88258, 40.894936)",Year Round,Unknown,0,1
Haffen Park Playground,Park,Multi-Stall W/M Restrooms,40.873542,-73.839305,"c(-73.839305, 40.873542)",Year Round,Fully Accessible,0,1
Equity Playground,Park,Multi-Stall W/M Restrooms,40.691385,-73.853623,"c(-73.853623, 40.691385)",Year Round,Fully Accessible,0,1
Morningside Park Zone 1,Park,Multi-Stall W/M Restrooms,40.802468,-73.959038,"c(-73.959038, 40.802468)",Unknown,Not Accessible,0,0
"Stapleton Library, NYPL",Library,Single-Stall All Gender Restroom(s),40.626265,-74.077865,"c(-74.077865, 40.626265)",Year Round,Fully Accessible,1,1
"Brower Park Library, BPL",Library,Single-Stall All Gender Restroom(s),40.675379,-73.948568,"c(-73.948568, 40.675379)",Year Round,Fully Accessible,1,1
Carmansville Playground,Park,Multi-Stall W/M Restrooms,40.829156,-73.944308,"c(-73.944308, 40.829156)",Year Round,Fully Accessible,0,1
South Beach Zone 1,Park,Multi-Stall W/M Restrooms,40.592406,-74.063578,"c(-74.063578, 40.592406)",Year Round,Fully Accessible,0,1
825 Eighth Avenue POPS,Privately Owned Public Space,Single-Stall All Gender Restroom(s),40.762238,-73.986944,"c(-73.986944, 40.762238)",Year Round,Fully Accessible,0,1
Brevoort Playground,Park,Multi-Stall W/M Restrooms,40.680681,-73.922699,"c(-73.922699, 40.680681)",Year Round,Partially Accessible,0,1
"Arlington Library, BPL",Library,Single-Stall All Gender Restroom(s),40.680698,-73.887239,"c(-73.887239, 40.680698)",Year Round,Fully Accessible,1,1
Rockaway Beach 04c,Park,Multi-Stall W/M Restrooms,40.587522,-73.795711,"c(-73.795711, 40.587522)",Seasonal,Partially Accessible,0,1
"Forest Hills Library, QPL",Library,Single-Stall All Gender Restroom(s),40.722155,-73.843016,"c(-73.843016, 40.722155)",Year Round,Unknown,1,1
Margaret I. Carman Green - Weeping Beech,Park,Multi-Stall W/M Restrooms,40.763499,-73.824741,"c(-73.824741, 40.763499)",Seasonal,Not Accessible,0,1
Nicholas Naquan Heyward Jr. Park,Park,Multi-Stall W/M Restrooms,40.684691,-73.987809,"c(-73.987809, 40.684691)",Year Round,Not Accessible,0,1
"Brooklyn Central Library, BPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.672352,-73.968226,"c(-73.968226, 40.672352)",Year Round,Fully Accessible,1,1
Aqueduct Walk Zone 2,Park,Multi-Stall W/M Restrooms,40.858411,-73.907994,"c(-73.907994, 40.858411)",Year Round,Fully Accessible,0,1
Paerdegat Basin Marina 3,Park,,40.62724,-73.904659,"c(-73.904659, 40.62724)",Year Round,Unknown,0,0
Maurice A. FitzGerald Playground,Park,Multi-Stall W/M Restrooms,40.690257,-73.839503,"c(-73.839503, 40.690257)",Year Round,Fully Accessible,0,1
Osborn Playground,Park,Multi-Stall W/M Restrooms,40.656092,-73.906153,"c(-73.906153, 40.656092)",Unknown,Fully Accessible,0,0
Allerton Playground,Park,Multi-Stall W/M Restrooms,40.865665,-73.850539,"c(-73.850539, 40.865665)",Year Round,Fully Accessible,0,1
General Hart Playground,Park,Multi-Stall W/M Restrooms,40.748786,-73.897234,"c(-73.897234, 40.748786)",Seasonal,Fully Accessible,0,1
East Parade Grounds,Park,Multi-Stall W/M Restrooms,40.651895,-73.965719000000007,"c(-73.965719, 40.651895)",Year Round,Not Accessible,0,1
Augustus St. Gaudens Playground,Park,Multi-Stall W/M Restrooms,40.735641,-73.982059,"c(-73.982059, 40.735641)",Year Round,Partially Accessible,0,1
"Richmond Hill Library, QPL",Library,Single-Stall All Gender Restroom(s),40.700806,-73.831644,"c(-73.831644, 40.700806)",Year Round,Unknown,1,1
