division,line,station_name,entrance_type,vending,staffing,ada,free_crossover,station_location,geometry
BMT,4 Avenue,25th St,Stair,YES,FULL,FALSE,FALSE,"(40.660397, -73.998091)","c(-73.998091, 40.660397)"
BMT,4 Avenue,36th St,Stair,YES,FULL,FALSE,TRUE,"(40.655144, -74.003549)","c(-74.003549, 40.655144)"
BMT,4 Avenue,45th St,Stair,YES,FULL,FALSE,TRUE,"(40.648939, -74.010006)","c(-74.010006, 40.648939)"
BMT,4 Avenue,53rd St,Stair,YES,FULL,FALSE,TRUE,"(40.645069, -74.014034)","c(-74.014034, 40.645069)"
BMT,4 Avenue,59th St,Stair,YES,FULL,FALSE,TRUE,"(40.641362, -74.017881)","c(-74.017881, 40.641362)"
BMT,4 Avenue,77th St,Stair,YES,FULL,FALSE,TRUE,"(40.629742, -74.02551)","c(-74.02551, 40.629742)"
BMT,4 Avenue,86th St,Stair,YES,FULL,FALSE,TRUE,"(40.622687, -74.028398)","c(-74.028398, 40.622687)"
BMT,4 Avenue,95th St,Stair,YES,FULL,FALSE,TRUE,"(40.616622, -74.030876)","c(-74.030876, 40.616622)"
BMT,4 Avenue,9th St,Stair,YES,FULL,FALSE,TRUE,"(40.670847, -73.988302)","c(-73.988302, 40.670847)"
BMT,4 Avenue,Atlantic Av-Barclays Ctr,Elevator,YES,FULL,TRUE,TRUE,"(40.683666, -73.97881)","c(-73.97881, 40.683666)"
BMT,4 Avenue,Bay Ridge Av,Stair,YES,FULL,FALSE,TRUE,"(40.634967, -74.023377)","c(-74.023377, 40.634967)"
BMT,4 Avenue,DeKalb Av,Elevator,YES,FULL,TRUE,TRUE,"(40.690635, -73.981824)","c(-73.981824, 40.690635)"
BMT,4 Avenue,Pacific St,Stair,YES,FULL,TRUE,TRUE,"(40.683666, -73.97881)","c(-73.97881, 40.683666)"
BMT,4 Avenue,Prospect Av,Stair,YES,FULL,FALSE,FALSE,"(40.665414, -73.992872)","c(-73.992872, 40.665414)"
BMT,4 Avenue,Union St,Stair,YES,FULL,FALSE,FALSE,"(40.677316, -73.98311)","c(-73.98311, 40.677316)"
IRT,42nd St Shuttle,Grand Central,Easement,YES,NONE,TRUE,TRUE,"(40.752769, -73.979189)","c(-73.979189, 40.752769)"
IRT,42nd St Shuttle,Times Square,Stair,YES,NONE,FALSE,TRUE,"(40.755983, -73.986229)","c(-73.986229, 40.755983)"
IND,6 Avenue,14th St,Stair,YES,FULL,FALSE,TRUE,"(40.738228, -73.996209)","c(-73.996209, 40.738228)"
IND,6 Avenue,23rd St,Stair,YES,FULL,FALSE,FALSE,"(40.742878, -73.992821)","c(-73.992821, 40.742878)"
IND,6 Avenue,2nd Av,Stair,YES,FULL,FALSE,TRUE,"(40.723402, -73.989938)","c(-73.989938, 40.723402)"
