division,line,station_name,station_latitude,station_longitude,entrance_type,vending,staffing,ada,free_crossover,station_location,geometry,facility_name,location_type,restroom_type,restroom_latitude,restroom_longitude,restroom_open,restroom_accessibility,restroom_changing_stations,restroom_status
BMT,4 Avenue,25th St,40.660397,-73.998091,Stair,YES,FULL,FALSE,FALSE,"(40.660397, -73.998091)","c(-73.998091, 40.660397)",Slope Park Playground,Park,Multi-Stall W/M Restrooms,40.661302,-73.989333,Year Round,Not Accessible,0,1
BMT,4 Avenue,36th St,40.655144,-74.003549,Stair,YES,FULL,FALSE,TRUE,"(40.655144, -74.003549)","c(-74.003549, 40.655144)",Sunset Park Playground,Park,Multi-Stall W/M Restrooms,40.647683,-74.005022,Year Round,Fully Accessible,0,1
BMT,4 Avenue,45th St,40.648939,-74.010006,Stair,YES,FULL,FALSE,TRUE,"(40.648939, -74.010006)","c(-74.010006, 40.648939)",Pena Herrera Playground,Park,Multi-Stall W/M Restrooms,40.649389,-74.012122,Year Round,Not Accessible,0,1
BMT,4 Avenue,53rd St,40.645069,-74.014034,Stair,YES,FULL,FALSE,TRUE,"(40.645069, -74.014034)","c(-74.014034, 40.645069)","Sunset Park Library, BPL",Library,Single-Stall All Gender Restroom(s),40.64592,-74.013631,Year Round,Partially Accessible,1,1
BMT,4 Avenue,59th St,40.641362,-74.017881,Stair,YES,FULL,FALSE,TRUE,"(40.641362, -74.017881)","c(-74.017881, 40.641362)",John Allen Payne Playground,Park,Multi-Stall W/M Restrooms,40.639783,-74.023575,Seasonal,Not Accessible,0,1
BMT,4 Avenue,77th St,40.629742,-74.02551,Stair,YES,FULL,FALSE,TRUE,"(40.629742, -74.02551)","c(-74.02551, 40.629742)","Bay Ridge Library, BPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.633634,-74.02954,Year Round,Fully Accessible,1,1
BMT,4 Avenue,86th St,40.622687,-74.028398,Stair,YES,FULL,FALSE,TRUE,"(40.622687, -74.028398)","c(-74.028398, 40.622687)","Fort Hamilton Library, BPL",Library,Single-Stall All Gender Restroom(s),40.616381,-74.031371,Year Round,Fully Accessible,1,1
BMT,4 Avenue,95th St,40.616622,-74.030876,Stair,YES,FULL,FALSE,TRUE,"(40.616622, -74.030876)","c(-74.030876, 40.616622)","Fort Hamilton Library, BPL",Library,Single-Stall All Gender Restroom(s),40.616381,-74.031371,Year Round,Fully Accessible,1,1
BMT,4 Avenue,9th St,40.670847,-73.988302,Stair,YES,FULL,FALSE,TRUE,"(40.670847, -73.988302)","c(-73.988302, 40.670847)",Washington Park,Park,,40.672998,-73.984618,Year Round,,0,1
BMT,4 Avenue,Atlantic Av-Barclays Ctr,40.683666,-73.97881,Elevator,YES,FULL,TRUE,TRUE,"(40.683666, -73.97881)","c(-73.97881, 40.683666)","Pacific Library, BPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.683475,-73.978585,Year Round,Partially Accessible,1,1
BMT,4 Avenue,Bay Ridge Av,40.634967,-74.023377,Stair,YES,FULL,FALSE,TRUE,"(40.634967, -74.023377)","c(-74.023377, 40.634967)",Millennium Playground,Park,Multi-Stall W/M Restrooms,40.635483,-74.019348,Seasonal,Not Accessible,0,1
BMT,4 Avenue,DeKalb Av,40.690635,-73.981824,Elevator,YES,FULL,TRUE,TRUE,"(40.690635, -73.981824)","c(-73.981824, 40.690635)",Fort Greene Playground,Park,Multi-Stall W/M Restrooms,40.692339,-73.977224,Year Round,Fully Accessible,0,1
BMT,4 Avenue,Pacific St,40.683666,-73.97881,Stair,YES,FULL,TRUE,TRUE,"(40.683666, -73.97881)","c(-73.97881, 40.683666)","Pacific Library, BPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.683475,-73.978585,Year Round,Partially Accessible,1,1
BMT,4 Avenue,Prospect Av,40.665414,-73.992872,Stair,YES,FULL,FALSE,FALSE,"(40.665414, -73.992872)","c(-73.992872, 40.665414)",Slope Park Playground,Park,Multi-Stall W/M Restrooms,40.661302,-73.989333,Year Round,Not Accessible,0,1
BMT,4 Avenue,Union St,40.677316,-73.98311,Stair,YES,FULL,FALSE,FALSE,"(40.677316, -73.98311)","c(-73.98311, 40.677316)",Park Slope Playground,Park,Multi-Stall W/M Restrooms,40.677033,-73.978523,Seasonal,Partially Accessible,0,1
IRT,42nd St Shuttle,Grand Central,40.752769,-73.979189,Easement,YES,NONE,TRUE,TRUE,"(40.752769, -73.979189)","c(-73.979189, 40.752769)",120 Park Avenue POPS,Privately Owned Public Space,Single-Stall All Gender Restroom(s),40.751936,-73.978306,Year Round,Fully Accessible,0,1
IRT,42nd St Shuttle,Times Square,40.755983,-73.986229,Stair,YES,NONE,FALSE,TRUE,"(40.755983, -73.986229)","c(-73.986229, 40.755983)",Bryant Park,Park,Multi-Stall W/M Restrooms,40.754039,-73.982655,Year Round,,0,1
IND,6 Avenue,14th St,40.738228,-73.996209,Stair,YES,FULL,FALSE,TRUE,"(40.738228, -73.996209)","c(-73.996209, 40.738228)","Andrew Heiskell Braille and Talking Book Library, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.740474,-73.993358,Year Round,Fully Accessible,0,1
IND,6 Avenue,23rd St,40.742878,-73.992821,Stair,YES,FULL,FALSE,FALSE,"(40.742878, -73.992821)","c(-73.992821, 40.742878)","Andrew Heiskell Braille and Talking Book Library, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.740474,-73.993358,Year Round,Fully Accessible,0,1
IND,6 Avenue,2nd Av,40.723402,-73.989938,Stair,YES,FULL,FALSE,TRUE,"(40.723402, -73.989938)","c(-73.989938, 40.723402)",Houston St Playground,Park,Multi-Stall W/M Restrooms,40.722443,-73.991187,Year Round,Fully Accessible,0,1
IND,6 Avenue,34th St,40.749719,-73.987823,Elevator,YES,FULL,TRUE,TRUE,"(40.749719, -73.987823)","c(-73.987823, 40.749719)",Herald Square,Park,Multi-Stall All Gender Restrooms,40.750455,-73.987505,Year Round,Fully Accessible,0,1
IND,6 Avenue,42nd St,40.754222,-73.984569,Easement,YES,FULL,FALSE,TRUE,"(40.754222, -73.984569)","c(-73.984569, 40.754222)",Bryant Park,Park,Multi-Stall W/M Restrooms,40.754039,-73.982655,Year Round,,0,1
IND,6 Avenue,47-50th Sts Rockefeller Center,40.758663,-73.981329,Easement,YES,FULL,TRUE,TRUE,"(40.758663, -73.981329)","c(-73.981329, 40.758663)",575 Fifth Avenue POPS,Privately Owned Public Space,Multi-Stall W/M Restrooms,40.756276,-73.978243,Year Round,Fully Accessible,1,1
IND,6 Avenue,4th Av,40.670272,-73.989779,Door,YES,FULL,FALSE,TRUE,"(40.670272, -73.989779)","c(-73.989779, 40.670272)",Washington Park,Park,,40.672998,-73.984618,Year Round,,0,1
IND,6 Avenue,57th St,40.763972,-73.97745,Stair,YES,FULL,FALSE,TRUE,"(40.763972, -73.97745)","c(-73.97745, 40.763972)","53rd Street Library, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.760815,-73.977365,Year Round,Fully Accessible,0,1
IND,6 Avenue,7th Av,40.666271,-73.980305,Stair,NO,FULL,FALSE,TRUE,"(40.666271, -73.980305)","c(-73.980305, 40.666271)","Park Slope Library, BPL",Library,Single-Stall All Gender Restroom(s),40.668243,-73.983457,Year Round,Fully Accessible,1,1
IND,6 Avenue,Bergen St,40.686145,-73.990862,Stair,YES,FULL,FALSE,FALSE,"(40.686145, -73.990862)","c(-73.990862, 40.686145)",Nicholas Naquan Heyward Jr. Park,Park,Multi-Stall W/M Restrooms,40.684691,-73.987809,Year Round,Not Accessible,0,1
IND,6 Avenue,Broadway-Lafayette St,40.725297,-73.996204,Stair,YES,FULL,FALSE,TRUE,"(40.725297, -73.996204)","c(-73.996204, 40.725297)","Mulberry Street Library, NYPL",Library,Both Single-Stall All Gender and Multi-Stall W/M,40.724148,-73.995686,Future,Fully Accessible,,0
IND,6 Avenue,Carroll St,40.680303,-73.995048,Stair,YES,FULL,FALSE,TRUE,"(40.680303, -73.995048)","c(-73.995048, 40.680303)",Carroll Park,Park,Multi-Stall W/M Restrooms,40.680873,-73.994773,Year Round,Not Accessible,0,1
IND,6 Avenue,Church Av,40.644041,-73.979678,Stair,YES,FULL,TRUE,TRUE,"(40.644041, -73.979678)","c(-73.979678, 40.644041)",Albemarle Playground,Park,Multi-Stall W/M Restrooms,40.646035,-73.980514,Year Round,Fully Accessible,0,1
IND,6 Avenue,Delancey St,40.718611,-73.988114,Stair,YES,FULL,FALSE,TRUE,"(40.718611, -73.988114)","c(-73.988114, 40.718611)",Allen Street Malls,Park,,40.719552,-73.990206,,,0,0
IND,6 Avenue,East Broadway,40.713715,-73.990173,Stair,YES,FULL,FALSE,TRUE,"(40.713715, -73.990173)","c(-73.990173, 40.713715)",Seward Park,Park,Multi-Stall W/M Restrooms,40.714723,-73.989061,Year Round,Fully Accessible,0,1
IND,6 Avenue,Fort Hamilton Parkway,40.650782,-73.975776,Stair,YES,FULL,FALSE,TRUE,"(40.650782, -73.975776)","c(-73.975776, 40.650782)",Greenwood Playground,Park,Multi-Stall W/M Restrooms,40.650466,-73.97658,Year Round,Not Accessible,0,1
IND,6 Avenue,Grand St,40.718267,-73.993753,Stair,YES,FULL,FALSE,TRUE,"(40.718267, -73.993753)","c(-73.993753, 40.718267)",Sara D. Roosevelt Park,Park,Multi-Stall W/M Restrooms,40.718813,-73.993045,Year Round,Fully Accessible,0,1
IND,6 Avenue,Prospect Park-15 St,40.660365,-73.979493,Stair,YES,FULL,FALSE,TRUE,"(40.660365, -73.979493)","c(-73.979493, 40.660365)",Harmony Playground,Park,Multi-Stall W/M Restrooms,40.663406,-73.976656,Seasonal,Not Accessible,0,1
